,date,temp,pres,prec,wind
285,20120914,18,744,,3.0
286,20120915,12,741,,10.0
287,20120916,13,748,,6.0
288,20120917,13,748,,4.0
289,20120918,20,742,,1.0
290,20120919,12,740,storm,1.0
291,20120920,11,744,rain,5.0
292,20120921,11,747,rain,6.0
293,20120922,10,751,,1.0
294,20120923,13,753,,1.0
295,20120924,12,752,,1.0
296,20120925,12,757,,4.0
297,20120926,16,754,,4.0
298,20120927,15,748,,3.0
299,20120928,14,750,,3.0
300,20120929,11,757,,1.0
301,20120930,14,755,,
302,20110101,-29,776,snow,1.0
303,20110102,-33,777,,
304,20110103,-34,778,,
305,20110104,-30,779,,
306,20110105,-33,778,,1.0
307,20110106,-31,777,,
308,20110107,-31,778,,1.0
309,20110108,-28,777,,
310,20110109,-25,770,,4.0
311,20110110,-23,763,,4.0
312,20110111,-19,753,snow,1.0
313,20110112,-23,763,snow,3.0
314,20110113,-12,761,,6.0
315,20110114,-13,766,,2.0
316,20110115,-13,768,,
317,20110116,-22,767,,1.0
318,20110117,-21,762,,
319,20110118,-10,766,,2.0
320,20110119,-13,769,,2.0
321,20110120,-18,771,,1.0
322,20110121,-19,771,,1.0
323,20110122,-25,770,,1.0
324,20110123,-25,768,,
325,20110124,-26,767,,
326,20110125,-25,772,,1.0
327,20110126,-20,773,,4.0
328,20110127,-10,767,,6.0
329,20110128,-10,763,,3.0
330,20110129,-8,752,,6.0
331,20110130,-3,745,snow,10.0
332,20110131,-11,754,,5.0
333,20110201,-9,752,,7.0
334,20110202,-11,756,,2.0
335,20110203,-4,739,snow,5.0
336,20110204,-11,754,,2.0
337,20110205,-13,750,,2.0
338,20110206,-10,753,,4.0
339,20110207,-10,756,,1.0
340,20110208,-9,752,,
341,20110209,-7,753,,3.0
342,20110210,-10,762,,3.0
343,20110211,-5,754,,3.0
344,20110212,-5,753,,4.0
345,20110213,-10,751,,
346,20110214,-16,758,,1.0
347,20110215,-10,756,,
348,20110216,-9,755,,3.0
349,20110217,-2,747,,6.0
350,20110218,-12,750,,6.0
351,20110219,-15,755,,4.0
352,20110220,-15,755,,
353,20110221,-21,761,snow,5.0
354,20110222,-24,763,,2.0
355,20110223,-18,762,,4.0
356,20110224,-15,769,,2.0
357,20110225,-16,773,,1.0
358,20110226,-15,770,,4.0
359,20110227,-16,771,,4.0
360,20110228,-14,769,,4.0
361,20110301,-13,766,,2.0
362,20110302,-10,758,,2.0
363,20110303,-14,758,,5.0
364,20110304,-12,759,,3.0
365,20110305,-10,759,,3.0
366,20110306,-6,761,,4.0
367,20110307,-2,757,,8.0
368,20110308,2,762,,3.0
369,20110309,2,749,,9.0
370,20110310,-8,748,snow,5.0
371,20110311,-10,758,,3.0
372,20110312,-12,772,,2.0
373,20110313,-4,773,,2.0
374,20110314,0,760,,2.0
375,20110315,1,740,snow,7.0
376,20110316,-3,759,,4.0
377,20110317,-3,753,snow,3.0
378,20110318,-7,767,,3.0
379,20110319,-7,768,snow,3.0
380,20110320,-1,772,,3.0
381,20110321,-2,773,,1.0
382,20110322,-5,768,,1.0
383,20110323,3,762,,
384,20110324,4,755,,11.0
385,20110325,4,744,,9.0
386,20110326,3,750,,4.0
387,20110327,0,758,,6.0
388,20110328,-2,753,snow,3.0
389,20110329,-2,765,,2.0
390,20110330,1,765,,2.0
391,20110331,0,756,,5.0
392,20110401,5,752,,3.0
393,20110402,1,749,snow,2.0
394,20110403,2,749,,4.0
395,20110404,-2,759,snow,6.0
396,20110405,3,750,,4.0
397,20110406,2,757,,6.0
398,20110407,2,752,,2.0
399,20110408,7,757,,2.0
400,20110409,7,750,,3.0
401,20110410,10,745,,1.0
402,20110411,14,750,,1.0
403,20110412,17,751,,
404,20110413,16,753,,2.0
405,20110414,11,752,,2.0
406,20110415,19,751,,1.0
407,20110416,20,748,,2.0
408,20110417,15,754,,3.0
409,20110418,14,757,,1.0
410,20110419,14,749,,5.0
411,20110420,7,753,,
412,20110421,12,755,,
413,20110422,21,746,,6.0
414,20110423,6,745,,6.0
415,20110424,6,755,,3.0
416,20110425,13,750,,2.0
417,20110426,8,747,,1.0
418,20110427,5,741,,2.0
419,20110428,7,752,,3.0
420,20110429,8,755,,3.0
421,20110430,15,753,,1.0
422,20110501,11,754,,1.0
423,20110502,11,756,,4.0
424,20110503,8,758,,4.0
425,20110504,13,751,,2.0
426,20110505,4,751,,1.0
427,20110506,8,751,,3.0
428,20110507,16,750,,3.0
429,20110508,6,752,,3.0
430,20110509,6,756,,5.0
431,20110510,13,755,,4.0
432,20110511,17,750,,5.0
433,20110512,19,747,,2.0
434,20110513,19,741,,5.0
435,20110514,12,750,,3.0
436,20110515,11,744,,1.0
437,20110516,10,755,,4.0
438,20110517,11,759,,3.0
439,20110518,14,758,,4.0
440,20110519,17,756,,2.0
441,20110520,20,750,,2.0
442,20110521,17,744,storm,1.0
443,20110522,21,744,,2.0
444,20110523,18,746,,4.0
445,20110524,17,748,,5.0
446,20110525,17,745,,2.0
447,20110526,21,737,,2.0
448,20110527,12,746,,5.0
449,20110528,14,748,,3.0
450,20110529,22,752,,
451,20110530,25,748,,4.0
452,20110531,28,742,,2.0
453,20110601,19,743,,3.0
454,20110602,22,746,,3.0
455,20110603,25,744,storm,2.0
456,20110604,25,742,,1.0
457,20110605,20,744,storm,11.0
458,20110606,23,745,,1.0
459,20110607,25,748,,2.0
460,20110608,26,747,,2.0
461,20110609,27,744,,2.0
462,20110610,26,740,,
463,20110611,25,739,,5.0
464,20110612,26,739,,2.0
465,20110613,27,739,,2.0
466,20110614,23,745,,2.0
467,20110615,22,746,,5.0
468,20110616,21,748,,5.0
469,20110617,24,747,,3.0
470,20110618,24,745,,1.0
471,20110619,26,737,,4.0
472,20110620,24,738,,2.0
473,20110621,18,739,,5.0
474,20110622,17,740,rain,1.0
475,20110623,22,745,,2.0
476,20110624,22,746,,3.0
477,20110625,18,747,,3.0
478,20110626,23,746,,2.0
479,20110627,27,745,,2.0
480,20110628,30,745,,1.0
481,20110629,30,741,,2.0
482,20111001,17,757,,1.0
483,20111002,18,752,,1.0
484,20111003,13,746,rain,6.0
485,20111004,14,746,,2.0
486,20111005,17,742,,4.0
487,20111006,10,746,,7.0
488,20111007,11,752,,6.0
489,20111008,12,747,,8.0
490,20111009,9,755,,1.0
491,20111010,12,761,,3.0
492,20111011,13,758,,4.0
493,20111012,14,759,,2.0
494,20111013,16,758,,3.0
495,20111014,18,757,,
496,20111015,16,754,,
497,20111016,16,751,,1.0
498,20111017,15,748,,4.0
499,20111018,6,752,,2.0
500,20111019,4,758,,2.0
501,20111020,6,758,,1.0
502,20111021,5,762,,1.0
503,20111022,5,761,,1.0
504,20111023,5,758,,1.0
505,20111024,8,756,,1.0
506,20111025,8,751,,1.0
507,20111026,4,752,,1.0
508,20111027,7,740,,5.0
509,20111028,1,749,,3.0
510,20111029,0,748,,10.0
511,20111030,-3,751,,3.0
512,20111031,-3,754,,8.0
513,20111101,0,747,snow,2.0
514,20111102,-4,756,,8.0
515,20111103,2,750,,6.0
516,20111104,4,748,,10.0
517,20111105,5,751,,6.0
518,20111106,6,744,rain,9.0
519,20111107,-4,755,,2.0
520,20111108,-5,751,,1.0
521,20111109,-8,758,,12.0
522,20111110,-7,755,snow,7.0
523,20111111,-11,763,snow,5.0
524,20111112,-4,752,,7.0
525,20111113,-3,745,,6.0
526,20111114,-8,754,,2.0
527,20111115,-10,753,,2.0
528,20111116,-7,758,snow,6.0
529,20111117,-6,757,,7.0
530,20111118,-4,747,snow,10.0
531,20111119,-8,749,snow,8.0
532,20111120,-9,759,,4.0
533,20111121,-7,756,,9.0
534,20111122,-4,747,,3.0
535,20111123,-9,754,snow,8.0
536,20111124,-13,756,,4.0
537,20111125,-15,756,,4.0
538,20111126,-13,759,,2.0
539,20111127,-10,759,snow,6.0
540,20111128,-12,761,,4.0
541,20111129,-12,762,snow,5.0
542,20111130,-12,766,,3.0
543,20111201,-10,759,,3.0
544,20111202,-8,754,,3.0
545,20111203,-10,755,snow,1.0
546,20111204,-9,753,snow,3.0
547,20111205,-10,760,,6.0
548,20111206,-8,766,,7.0
549,20111207,-6,768,,3.0
550,20111208,-12,771,,1.0
551,20111209,-16,768,,
552,20111210,-13,764,,2.0
553,20111211,-10,762,snow,1.0
554,20111212,-13,763,,2.0
555,20111213,-11,763,,2.0
556,20111214,-10,764,,1.0
557,20111215,-8,760,,1.0
558,20111216,-16,767,,3.0
559,20111217,-20,770,,1.0
560,20111218,-16,771,,2.0
561,20111219,-14,768,,2.0
562,20111220,-14,772,,4.0
563,20111221,-16,771,,2.0
564,20111222,-13,766,,4.0
565,20111223,-11,764,,4.0
566,20111224,-12,760,,2.0
567,20111225,-13,757,,3.0
568,20111226,-11,752,,3.0
569,20111227,-5,751,snow,9.0
570,20111228,-12,756,,6.0
571,20111229,-7,752,,5.0
572,20111230,-3,751,,6.0
573,20111231,-6,764,snow,4.0
574,20110901,22,743,storm,4.0
575,20110902,14,754,,
576,20110903,19,752,,5.0
577,20110904,16,756,,1.0
578,20110905,16,761,,2.0
579,20110906,17,759,,1.0
580,20110907,18,754,,2.0
581,20110908,20,747,,2.0
582,20110909,23,741,,
583,20110910,11,747,,2.0
584,20110911,12,755,,1.0
585,20110912,15,759,,2.0
586,20110913,18,758,,3.0
587,20110914,17,758,,2.0
588,20110915,19,754,,2.0
589,20110916,21,752,,2.0
590,20110917,20,752,,1.0
591,20110918,20,753,,1.0
592,20110919,23,752,,
593,20110920,24,748,,
594,20110921,19,746,,3.0
595,20110922,16,749,,3.0
596,20110923,15,750,,4.0
597,20110924,14,744,rain,4.0
598,20110925,10,753,,2.0
599,20110926,12,761,,3.0
600,20110927,16,760,,1.0
601,20110928,17,755,,1.0
602,20110929,17,750,,4.0
603,20110930,14,758,,4.0
604,20130101,-15,759,,2.0
605,20130102,-16,764,,1.0
606,20130103,-14,763,,1.0
607,20130104,-14,762,,
608,20130105,-15,761,,
609,20130106,-17,765,,1.0
610,20130107,-18,761,snow,1.0
611,20130108,-27,757,,
612,20130109,-28,762,,
613,20130110,-11,747,snow,9.0
614,20130111,-23,754,,1.0
615,20130112,-16,748,,1.0
616,20130113,-13,749,,5.0
617,20130114,-8,750,,9.0
618,20130115,-3,742,,7.0
619,20130116,-11,749,,6.0
620,20130117,-16,755,,8.0
621,20130118,-23,758,,2.0
622,20130119,-17,757,,3.0
623,20130120,-18,758,,2.0
624,20130121,-8,751,snow,2.0
625,20130122,-11,755,,
626,20130123,-1,743,,11.0
627,20130124,-9,750,,4.0
628,20130125,-3,747,snow,1.0
629,20130126,1,742,,6.0
630,20130127,-14,755,,3.0
631,20130128,-23,760,,3.0
632,20130129,-22,762,,2.0
633,20130130,-18,758,snow,3.0
634,20130131,-18,763,,1.0
635,20130201,-11,758,,4.0
636,20130202,-8,756,,3.0
637,20130203,-9,755,,3.0
638,20130204,-10,759,snow,
639,20130205,-8,762,snow,1.0
640,20130206,-12,766,,2.0
641,20130207,-15,767,,1.0
642,20130208,-18,764,,2.0
643,20130209,-24,768,,
644,20130210,-11,762,,8.0
645,20130211,-7,758,snow,2.0
646,20130212,-19,766,,
647,20130213,-13,759,,9.0
648,20130214,-8,749,snow,3.0
649,20130215,-18,757,,3.0
650,20130216,-20,767,,2.0
651,20130217,-13,760,snow,7.0
652,20130218,-17,760,snow,1.0
653,20130219,-13,757,,4.0
654,20130220,-13,762,,1.0
655,20130221,-8,756,,3.0
656,20130222,-5,752,snow,2.0
657,20130223,-10,753,,7.0
658,20130224,-7,746,snow,8.0
659,20130225,-13,753,snow,3.0
660,20130226,-11,747,snow,8.0
661,20130227,-13,756,,10.0
662,20130228,-4,748,,6.0
663,20130301,-16,755,,4.0
664,20130302,-10,755,,3.0
665,20130303,2,738,,4.0
666,20130304,-2,749,,9.0
667,20130305,-13,762,,3.0
668,20130306,-11,747,snow,4.0
669,20130307,-10,741,,1.0
670,20130308,-11,753,snow,11.0
671,20130309,-4,740,snow,14.0
672,20130310,-10,756,snow,5.0
673,20130311,-12,764,,1.0
674,20130312,-7,750,,2.0
675,20130313,-1,751,,
676,20130314,2,749,,3.0
677,20130315,-1,752,,2.0
678,20130316,-4,765,,1.0
679,20130317,0,758,,2.0
680,20130318,2,752,,1.0
681,20130319,3,750,,1.0
682,20130320,-8,759,,2.0
683,20130321,-5,747,,2.0
684,20130322,-5,758,,1.0
685,20130323,-1,748,snow,1.0
686,20130324,-1,755,,5.0
687,20130325,-5,761,,3.0
688,20130326,-2,757,,4.0
689,20130327,-4,754,,3.0
690,20130328,3,752,,3.0
691,20130329,0,756,,1.0
692,20130330,3,749,,4.0
693,20130331,1,749,snow,1.0
694,20130401,-1,763,,4.0
695,20130402,-1,760,snow,4.0
696,20130403,-2,763,,4.0
697,20130404,1,755,,7.0
698,20130405,2,754,,4.0
699,20130406,3,757,,4.0
700,20130407,2,758,,5.0
701,20130408,9,756,,3.0
702,20130409,8,752,,2.0
703,20130410,8,754,,3.0
704,20130411,5,760,,3.0
705,20130412,4,757,,4.0
706,20130413,8,746,,1.0
707,20130414,6,753,,4.0
708,20130415,5,756,,4.0
709,20130416,4,757,,4.0
710,20130417,6,748,,1.0
711,20130418,3,747,rain,2.0
712,20130419,3,750,,2.0
713,20130420,5,751,rain,1.0
714,20130421,6,749,,3.0
715,20130422,10,753,,2.0
716,20130423,13,750,,2.0
717,20130424,14,742,,4.0
718,20130425,8,745,,4.0
719,20130426,7,753,,3.0
720,20130427,14,751,,2.0
721,20130428,11,746,,4.0
722,20130429,6,744,storm,4.0
723,20130430,10,740,,4.0
724,20130501,5,756,,3.0
725,20130502,4,746,rain,6.0
726,20130503,9,747,,2.0
727,20130504,11,751,,4.0
728,20130505,6,746,storm,3.0
729,20130506,12,755,,1.0
730,20130507,8,751,rain,9.0
731,20130508,22,747,rain,5.0
732,20130509,18,741,,4.0
733,20130510,11,740,,6.0
734,20130511,9,749,rain,5.0
735,20130512,5,737,rain,10.0
736,20130513,4,749,,4.0
737,20130514,8,752,,2.0
738,20130515,15,743,,3.0
739,20130516,12,749,,4.0
740,20130517,10,750,,2.0
741,20130518,8,739,rain,8.0
742,20130519,10,737,,4.0
743,20130520,9,742,,4.0
744,20130521,9,743,,5.0
745,20130522,13,744,rain,6.0
746,20130523,9,739,,8.0
747,20130524,13,748,,3.0
748,20130525,11,751,,2.0
749,20130526,13,752,,3.0
750,20130527,16,748,,2.0
751,20130528,16,745,,4.0
752,20130529,10,750,,3.0
753,20130530,16,750,,3.0
754,20130531,11,744,,3.0
755,20130601,11,748,,5.0
756,20130602,9,744,,1.0
757,20130603,11,743,,4.0
758,20130604,14,746,,3.0
759,20130605,13,748,rain,2.0
760,20130606,14,751,,3.0
761,20130607,20,754,,2.0
762,20130608,21,750,,5.0
763,20130609,20,742,,3.0
764,20130610,19,738,,2.0
765,20130611,16,741,,4.0
766,20130612,18,743,,1.0
767,20130613,18,744,,
768,20130614,22,745,,1.0
769,20130615,21,744,,1.0
770,20130616,15,752,,1.0
771,20130617,14,749,,2.0
772,20130618,16,747,,1.0
773,20130619,22,748,,
774,20130620,18,751,,2.0
775,20130621,24,750,,2.0
776,20130622,25,750,,3.0
777,20130623,20,753,,3.0
778,20130624,18,752,,2.0
779,20130625,18,751,,4.0
780,20130626,21,747,,1.0
781,20130627,22,745,,2.0
782,20130628,22,739,,4.0
783,20130629,17,740,,2.0
784,20130630,15,743,,4.0
785,20131001,15,744,,2.0
786,20131002,10,752,,5.0
787,20131003,5,750,rain,3.0
788,20131004,4,749,snow,2.0
789,20131005,4,759,,2.0
790,20131006,9,751,,3.0
791,20131007,5,745,,3.0
792,20131008,6,749,,4.0
793,20131009,7,746,rain,3.0
794,20131010,2,752,,3.0
795,20131011,1,760,,3.0
796,20131012,-2,766,,1.0
797,20131013,5,754,,10.0
798,20131014,10,750,,
799,20131015,7,743,rain,6.0
800,20131016,4,752,,3.0
801,20131017,8,755,,6.0
802,20131018,8,754,,2.0
803,20131019,0,760,,3.0
804,20131020,1,769,,3.0
805,20131021,8,751,,4.0
806,20131022,5,745,rain,4.0
807,20131023,2,757,,2.0
808,20131024,1,761,snow,1.0
809,20131025,1,757,,5.0
810,20131026,3,750,rain,4.0
811,20131027,5,750,,2.0
812,20131028,5,755,,3.0
813,20131029,5,754,rain,2.0
814,20131030,8,754,,3.0
815,20131031,7,747,rain,5.0
816,20131101,6,750,rain,5.0
817,20131102,8,745,,6.0
818,20131103,2,758,,2.0
819,20131104,2,754,snow,3.0
820,20131105,3,749,rain,7.0
821,20131106,3,751,,2.0
822,20131107,-4,760,snow,3.0
823,20131108,-5,771,,
824,20131109,-1,770,,2.0
825,20131110,1,762,,5.0
826,20131111,-1,761,snow,1.0
827,20131112,1,755,,5.0
828,20131113,1,746,snow,4.0
829,20131114,1,753,,1.0
830,20131115,2,756,,3.0
831,20131116,4,753,,4.0
832,20131117,4,749,,4.0
833,20131118,1,749,,4.0
834,20131119,3,746,,6.0
835,20131120,2,752,,2.0
836,20131121,-1,761,,5.0
837,20131122,-2,760,snow,1.0
838,20131123,-2,763,,2.0
839,20131124,-2,757,snow,2.0
840,20131125,-3,760,,2.0
841,20131126,-1,763,,4.0
842,20131127,-1,757,,4.0
843,20131128,-1,753,,2.0
844,20131129,2,746,,5.0
845,20131130,1,747,,3.0
846,20131201,1,747,,4.0
847,20131202,-1,752,snow,3.0
848,20131203,-3,755,,7.0
849,20131204,0,749,,5.0
850,20131205,2,742,rain,5.0
851,20131206,-5,759,snow,4.0
852,20131207,-3,758,,4.0
853,20131208,-6,761,,1.0
854,20131209,-6,761,,1.0
855,20131210,-3,755,,3.0
856,20131211,-4,754,,
857,20131212,-1,747,snow,5.0
858,20131213,-7,754,,9.0
859,20131214,-3,754,,5.0
860,20131215,0,746,,7.0
861,20131216,1,749,,2.0
862,20131217,-9,761,,6.0
863,20131218,-10,760,,5.0
864,20131219,-10,756,,10.0
865,20131220,-3,751,,5.0
866,20131221,-4,750,snow,1.0
867,20131222,-21,766,,1.0
868,20131223,-24,771,,2.0
869,20131224,-20,767,,2.0
870,20131225,-13,765,,3.0
871,20131226,-4,761,snow,6.0
872,20131227,-3,759,,5.0
873,20131228,-7,755,snow,4.0
874,20131229,-5,752,snow,5.0
875,20131230,-4,754,,5.0
876,20131231,-8,751,,7.0
877,20130901,16,753,,4.0
878,20130902,21,755,,3.0
879,20130903,23,751,,2.0
880,20130904,24,747,,1.0
881,20130905,23,748,,2.0
882,20130906,16,755,,2.0
883,20130907,15,761,,2.0
884,20130908,17,756,,
885,20130909,19,749,,2.0
886,20130910,13,742,,1.0
887,20130911,15,744,,1.0
888,20130912,12,750,,3.0
889,20130913,13,754,,4.0
890,20130914,16,747,,2.0
891,20130915,9,744,rain,2.0
892,20130916,9,752,,1.0
893,20130917,7,753,,2.0
894,20130918,8,754,,2.0
895,20130919,7,752,,1.0
896,20130920,6,755,rain,2.0
897,20130921,7,762,,2.0
